p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,1,182,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,183,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,184,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,185,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,186,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,187,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,188,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,189,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,190,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,191,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,192,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,193,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,194,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,195,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,196,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,197,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,198,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,199,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,200,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,201,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,202,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,203,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,204,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,205,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,206,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,207,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,208,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,209,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,210,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,211,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,212,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,213,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,214,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,215,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,216,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,217,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,218,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,219,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,220,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,221,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,222,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,223,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,224,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,225,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,226,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,227,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,228,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,229,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,230,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,231,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,232,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,233,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,234,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,235,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,236,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,237,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,238,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,239,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,240,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,241,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,242,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,243,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,244,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,245,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,246,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,247,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,248,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,1,249,660,660,660,2,1000
1.0,true,5,0.0,,0.2,1.0,2,0,2147483647,2147483647,2147483647,2,1000
