dcop,p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_costanytime_cost,top_cost,memory_style,hyper_parametr
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,129,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,130,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,131,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,132,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,133,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,134,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,135,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,136,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,137,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,138,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,139,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,140,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,141,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,142,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,143,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,144,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,145,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,146,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,147,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,148,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,149,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,150,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,151,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,152,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,153,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,154,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,155,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,156,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,157,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,158,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,159,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,160,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,161,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,162,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,163,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,164,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,165,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,166,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,167,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,168,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,169,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,170,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,171,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,172,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,173,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,174,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,175,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,176,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,177,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,178,23802380,2380,1,0
