algo,p1,p2,mean_run,p3,upper_bound,itiration,real_cost
dsa0.6,0.2,1.0,1,0.0,5,150,7335
dsa0.6,0.2,1.0,1,0.0,5,151,7335
dsa0.6,0.2,1.0,1,0.0,5,152,7335
dsa0.6,0.2,1.0,1,0.0,5,153,7335
dsa0.6,0.2,1.0,1,0.0,5,154,7335
dsa0.6,0.2,1.0,1,0.0,5,155,7335
dsa0.6,0.2,1.0,1,0.0,5,156,7335
dsa0.6,0.2,1.0,1,0.0,5,157,7335
dsa0.6,0.2,1.0,1,0.0,5,158,7335
dsa0.6,0.2,1.0,1,0.0,5,159,7335
dsa0.6,0.2,1.0,1,0.0,5,160,7335
dsa0.6,0.2,1.0,1,0.0,5,161,7335
dsa0.6,0.2,1.0,1,0.0,5,162,7335
dsa0.6,0.2,1.0,1,0.0,5,163,7335
dsa0.6,0.2,1.0,1,0.0,5,164,7335
dsa0.6,0.2,1.0,1,0.0,5,165,7335
dsa0.6,0.2,1.0,1,0.0,5,166,7335
dsa0.6,0.2,1.0,1,0.0,5,167,7335
dsa0.6,0.2,1.0,1,0.0,5,168,7335
dsa0.6,0.2,1.0,1,0.0,5,169,7335
dsa0.6,0.2,1.0,1,0.0,5,170,7335
dsa0.6,0.2,1.0,1,0.0,5,171,7335
dsa0.6,0.2,1.0,1,0.0,5,172,7335
dsa0.6,0.2,1.0,1,0.0,5,173,7335
dsa0.6,0.2,1.0,1,0.0,5,174,7335
dsa0.6,0.2,1.0,1,0.0,5,175,7335
dsa0.6,0.2,1.0,1,0.0,5,176,7335
dsa0.6,0.2,1.0,1,0.0,5,177,7335
dsa0.6,0.2,1.0,1,0.0,5,178,7335
dsa0.6,0.2,1.0,1,0.0,5,179,7335
dsa0.6,0.2,1.0,1,0.0,5,180,7335
dsa0.6,0.2,1.0,1,0.0,5,181,7335
dsa0.6,0.2,1.0,1,0.0,5,182,7335
dsa0.6,0.2,1.0,1,0.0,5,183,7335
dsa0.6,0.2,1.0,1,0.0,5,184,7335
dsa0.6,0.2,1.0,1,0.0,5,185,7335
dsa0.6,0.2,1.0,1,0.0,5,186,7335
dsa0.6,0.2,1.0,1,0.0,5,187,7335
dsa0.6,0.2,1.0,1,0.0,5,188,7335
dsa0.6,0.2,1.0,1,0.0,5,189,7335
dsa0.6,0.2,1.0,1,0.0,5,190,7335
